"Lab","Trait","Sex","Model","Predictor","P"
"Abbott","Pgm_T6","F","lmer","Wolbachia",0.872417155519036
"Abbott","Pgm_Total","F","lmer","Wolbachia",0.594415523173736
"Gibert","Pgm_T4","F","lmer","Wolbachia",0.680546304331015
"Gibert","Pgm_T5","F","lmer","Wolbachia",0.105317092447029
"Gibert","Pgm_T6","F","lmer","Wolbachia",0.210308847093797
"Gibert","Pgm_Total","F","lmer","Wolbachia",0.135674295996685
"Schmidt","Pgm_T4","F","lmer","Wolbachia",0.29924242378159
"Schmidt","Pgm_T5","F","lmer","Wolbachia",0.359367034380624
"Schmidt","Pgm_T6","F","lmer","Wolbachia",0.760637660226324
"Schmidt","Pgm_Total","F","lmer","Wolbachia",0.508151431148141
"Gonzalez","SR","F","lmer","Wolbachia",0.418067679189489
"Onder","SR","F","lmer","Wolbachia",0.461344363752696
"Pasyukova","SR","F","lmer","Wolbachia",0.355251644084898
"Gonzalez","SR","M","lmer","Wolbachia",0.389709180913433
"Onder","SR","M","lmer","Wolbachia",0.943210206797793
"Pasyukova","SR","M","lmer","Wolbachia",0.407343007667018
"Kozeretska","TL","F","lmer","Wolbachia",0.30623525806643
"Posnien","TL","F","lmer","Wolbachia",0.316695415129158
"Ritchie","TL","F","lmer","Wolbachia",0.340368436431957
"Schmidt","TL","F","lmer","Wolbachia",0.486569798690827
"Kozeretska","TL","M","lmer","Wolbachia",0.542667366388461
"Posnien","TL","M","lmer","Wolbachia",0.284058128304203
"Ritchie","TL","M","lmer","Wolbachia",0.415102111271503
"Gibert","Via","NA","lmer","Wolbachia",0.0396889391046137
"Grath","Via","NA","lmer","Wolbachia",0.471349124078651
"Hoedjes","Via","NA","lmer","Wolbachia",0.0260228303232187
"StamenkovicRadak","Via","NA","lmer","Wolbachia",0.871471466073463
"Zwaan","Via","NA","lmer","Wolbachia",0.416463597325724
"Onder","WA_L","F","lmer","Wolbachia",0.0146453485933838
"Posnien","WA_L","F","lmer","Wolbachia",0.732677293488799
"Ritchie","WA_L","F","lmer","Wolbachia",0.776225433021403
"StamenkovicRadak","WA_L","F","lmer","Wolbachia",0.0848633136110677
"Onder","WA_L","M","lmer","Wolbachia",0.0379572434965742
"Posnien","WA_L","M","lmer","Wolbachia",0.725329446839082
"Ritchie","WA_L","M","lmer","Wolbachia",0.721497758390281
"StamenkovicRadak","WA_L","M","lmer","Wolbachia",0.0392353670571503
"Onder","WA_R","F","lmer","Wolbachia",0.0123824838124802
"Posnien","WA_R","F","lmer","Wolbachia",0.778829989552306
"Ritchie","WA_R","F","lmer","Wolbachia",0.801027141047009
"StamenkovicRadak","WA_R","F","lmer","Wolbachia",0.0830144557057184
"Onder","WA_R","M","lmer","Wolbachia",0.0310678235907412
"Posnien","WA_R","M","lmer","Wolbachia",0.740839106442237
"Ritchie","WA_R","M","lmer","Wolbachia",0.767515961309515
"StamenkovicRadak","WA_R","M","lmer","Wolbachia",0.0555828963780683
