Model	Trait	Sex	Population	Line	Estimate_Kozeretska	Estimate_Posnien	Estimate_Ritchie	Estimate_Schmidt	SE_Kozeretska	SE_Posnien	SE_Ritchie	SE_Schmidt
lmer_pop	TL	F	MU	MU19	NA	NA	NA	12.89	NA	NA	NA	9.892
lmer_pop	TL	F	RE	RE4	NA	NA	NA	22.205	NA	NA	NA	9.892
lmer_pop	TL	F	RE	RE5	NA	NA	NA	-10.502	NA	NA	NA	12.645
lmer_pop	TL	F	UM	UM17	NA	NA	NA	1.661	NA	NA	NA	9.892
lmer_pop	TL	F	UM	UM22	NA	NA	NA	2.282	NA	NA	NA	9.892
lmer_pop	TL	F	UM	UM25	NA	NA	NA	11.936	NA	NA	NA	9.892
lmer_pop	TL	F	UM	UM28	NA	NA	NA	-3.699	NA	NA	NA	9.892
lmer_pop	TL	F	VA	VA47	NA	NA	NA	-3.282	NA	NA	NA	9.892
lmer_pop	TL	F	YE	YE23	NA	NA	NA	3.35	NA	NA	NA	9.892
lmer_pop	TL	F	YE	YE24	NA	NA	NA	30.135	NA	NA	NA	10.763
lmer_pop	TL	F	YE	YE41	NA	NA	NA	-4.23	NA	NA	NA	9.892
lmer_pop	TL	F	YE	YE69	NA	NA	NA	-22.256	NA	NA	NA	9.892
lmer_pop	TL	M	AK	AK1	-8.923	NA	-9.145	NA	16.935	NA	17.166	NA
lmer_pop	TL	M	AK	AK10	-12.447	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK11	-13.094	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK12	-18.63	11.898	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	AK	AK13	0.884	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK14	19.694	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK15	19.295	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	AK	AK16	-14.201	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK17	8.305	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK2	-19.463	NA	11.012	NA	20.048	NA	16.661	NA
lmer_pop	TL	M	AK	AK20	-13.497	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK21	17.862	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	AK	AK3	10.045	20.23	1.746	NA	16.935	10.283	16.596	NA
lmer_pop	TL	M	AK	AK4	-2.783	NA	-3.614	NA	16.935	NA	17.134	NA
lmer_pop	TL	M	AK	AK5	14.459	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK6	-13.67	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	AK	AK7	-9.182	-32.127	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	AK	AK8	24.986	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	AK	AK9	10.361	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	GI	GI1	19.081	NA	-8.308	NA	16.935	NA	17.16	NA
lmer_pop	TL	M	GI	GI11	12.48	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	GI	GI14	6.555	-7.261	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	GI	GI15	-7.328	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	GI	GI2	-31.769	NA	3.42	NA	16.935	NA	16.636	NA
lmer_pop	TL	M	GI	GI3	-5.711	NA	-0.376	NA	16.935	NA	16.6	NA
lmer_pop	TL	M	GI	GI6	12.883	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	GI	GI8	3.478	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	GI	GI9	-9.669	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	KA	KA1	-24.507	NA	-25.715	NA	16.935	NA	17.131	NA
lmer_pop	TL	M	KA	KA10	16.952	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	KA	KA13	-5.223	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	KA	KA14	16.133	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	KA	KA15	28.241	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	KA	KA16	-11.723	27.16	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	KA	KA17	1.623	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	KA	KA18	0.904	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	KA	KA2	1.206	NA	-4.255	NA	16.935	NA	16.623	NA
lmer_pop	TL	M	KA	KA3	-7.998	NA	22.901	NA	16.935	NA	17.131	NA
lmer_pop	TL	M	KA	KA5	-6.229	NA	-5.089	NA	16.935	NA	17.174	NA
lmer_pop	TL	M	KA	KA7	-9.379	-23.231	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	MA	MA13	8.894	-2.904	NA	NA	20.048	10.283	NA	NA
lmer_pop	TL	M	MA	MA16	-5.407	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MA	MA18	15.574	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MA	MA19	-29.998	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MA	MA20	-26.37	NA	NA	NA	16.974	NA	NA	NA
lmer_pop	TL	M	MA	MA21	-13.575	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MA	MA27	-4.875	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MA	MA28	17.231	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	MA	MA3	-28.272	-19.209	6.493	NA	16.935	10.283	17.137	NA
lmer_pop	TL	M	MA	MA30	7.78	22.114	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	MA	MA31	0.345	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MA	MA32	24.907	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MA	MA33	18.407	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MA	MA5	-16.4	NA	-0.46	NA	20.048	NA	16.62	NA
lmer_pop	TL	M	MA	MA6	6.391	NA	-11.728	NA	20.048	NA	17.149	NA
lmer_pop	TL	M	MA	MA7	47.154	NA	8.748	NA	16.935	NA	17.166	NA
lmer_pop	TL	M	MA	MA9	-21.787	NA	-3.053	NA	16.935	NA	17.16	NA
lmer_pop	TL	M	MU	MU1	-37.374	NA	-5.601	NA	16.935	NA	17.135	NA
lmer_pop	TL	M	MU	MU11	-38.41	-62.249	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	MU	MU12	29.179	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU13	-46.808	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU14	20.508	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU15	7.004	13.254	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	MU	MU16	9.773	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	MU	MU17	25.023	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU18	15.446	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU2	12.526	NA	5.601	NA	16.935	NA	16.639	NA
lmer_pop	TL	M	MU	MU20	20.169	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	MU	MU3	29.266	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU5	41.777	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU6	-19.974	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU7	1.151	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU8	-35.304	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	MU	MU9	-33.952	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	RE	RE1	8.316	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	RE	RE10	6.245	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	RE	RE11	18.555	-4.184	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	RE	RE12	-31.346	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	RE	RE13	-31.663	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	RE	RE15	-1.564	6.058	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	RE	RE16	-4.592	NA	NA	NA	20.049	NA	NA	NA
lmer_pop	TL	M	RE	RE17	-12.335	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	RE	RE2	16.728	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	RE	RE3	7.907	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	RE	RE6	22.207	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	RE	RE7	1.542	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM13	-3.684	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM18	20.475	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM2	2.298	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM20	10.121	27.045	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	UM	UM21	-2.045	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM23	19.613	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM26	-4.3	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	UM	UM29	5.016	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM4	8.583	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM5	5.965	-19.09	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	UM	UM7	-21.358	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	UM	UM9	-40.685	-7.955	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	VA	VA1	-10.347	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA11	7.456	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA15	17.293	1.908	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	VA	VA18	-10.246	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA22	-13.985	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA26	-8.06	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA30	3.075	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	VA	VA34	-20.27	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA35	0.338	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA44	27.287	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA46	-10.103	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA48	-4.767	-9.125	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	VA	VA55	20.471	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA57	13.985	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA6	23.735	7.217	NA	NA	16.935	10.283	NA	NA
lmer_pop	TL	M	VA	VA66	-15.049	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA67	2.524	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA71	4.408	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	VA	VA9	-27.743	NA	NA	NA	17.142	NA	NA	NA
lmer_pop	TL	M	YE	YE13	-23.509	NA	-10.722	NA	16.935	NA	16.627	NA
lmer_pop	TL	M	YE	YE14	-21.827	14.95	3.372	NA	16.935	10.283	16.616	NA
lmer_pop	TL	M	YE	YE19	-7.489	-22.036	6.138	NA	16.935	10.283	17.155	NA
lmer_pop	TL	M	YE	YE20	-35.474	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	YE	YE22	-20.763	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	YE	YE26	14.912	NA	NA	NA	20.048	NA	NA	NA
lmer_pop	TL	M	YE	YE27	32.46	NA	NA	NA	16.935	NA	NA	NA
lmer_pop	TL	M	YE	YE33	20.481	NA	NA	NA	16.935	NA	NA	NA
