"Supervisor.PI","Diet","Batch","Population","Line","Sex","condition","TotalNumberOfFlies","ZT_hours_MESA","ZT_hours_LSPR","Period_MESA","Period_LSPR","Rhythmicity_LSPR_amplitude","Rhythmicity_JTK_p_BH_corrected","Country","Latitude","Longitude","Altitude"
"Wegener","NS",2,"MA","mixed population","mixed sex","29_LD_DD",1513,5.35,6.45,23.08,22.46,12.91,9.44e-05,"Austria",48.375,15.56,572
"Wegener","NS",2,"MU","mixed population","mixed sex","29_LD_DD",1621,4.2,4.98,23.32,22.82,13.45,1.87e-07,"Germany",48.18,11.61,520
"Wegener","NS",3,"RE","mixed population","mixed sex","29_LD_DD",1163,4.72,3.9,23.78,24.42,10.74,5.09e-13,"Portugal",41.15,-8.41,175
"Wegener","NS",2,"UM","mixed population","mixed sex","29_LD_DD",1067,5.5,7.15,23.34,22.36,8.22,4.59e-07,"Ukraine",48.753,30.206,214
"Wegener","NS",3,"VA","mixed population","mixed sex","29_LD_DD",3418,4.3,3.54,23.66,24.26,28.22,1.4e-12,"Russia",57.979,33.244,217
"Wegener","NS",2,"YE","mixed population","mixed sex","29_LD_DD",1565,4.14,4.01,24.16,24.26,17.13,1.46e-10,"Turkey",40.231,32.26,680
"Wegener","NS",2,"AK","mixed population","mixed sex","29_LD_LD",1186,3.06,4.67,23.36,22.56,10.59,1.15e-08,"Finland",61.1,23.52,88
"Wegener","NS",3,"GI","mixed population","mixed sex","29_LD_LD",378,5.51,5.35,22.5,22.6,3.9,2.01e-09,"Spain",41.618,0.62,173
"Wegener","NS",2,"KA","mixed population","mixed sex","29_LD_LD",2239,3.79,4.81,23.44,22.96,17.93,4.35e-06,"Denmark",55.945,10.213,15
"Wegener","NS",2,"MA","mixed population","mixed sex","29_LD_LD",1256,3.05,3.56,23.06,22.8,13,1.03e-11,"Austria",48.375,15.56,572
"Wegener","NS",1,"MU","mixed population","mixed sex","29_LD_LD",1279,1.36,1.65,23.98,23.88,12.1,5.15e-11,"Germany",48.18,11.61,520
"Wegener","NS",2,"RE","mixed population","mixed sex","29_LD_LD",1370,2.24,3.67,23.78,23.3,12.9,1.79e-10,"Portugal",41.15,-8.41,175
"Wegener","NS",2,"UM","mixed population","mixed sex","29_LD_LD",1216,4.03,3.89,23.14,23.2,12.92,2.07e-18,"Ukraine",48.753,30.206,214
"Wegener","NS",2,"VA","mixed population","mixed sex","29_LD_LD",2227,2.6,2.16,23.64,24.04,20.85,6.04e-13,"Russia",57.979,33.244,217
"Wegener","NS",3,"YE","mixed population","mixed sex","29_LD_LD",1335,4.3,4.71,22.74,22.5,15.6,8.17e-13,"Turkey",40.231,32.26,680
