Model	Trait	Sex	Population	Line	Estimate_Gibert	Estimate_Grath	Estimate_Hoedjes	Estimate_StamenkovicRadak	Estimate_Zwaan	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	Via	NA	KA	KA2	0.01	NA	-0.08	0.14	0.017	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	KA	KA23	-0.01	NA	-0.077	-0.072	0.176	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	KA	KA24	-0.062	NA	-0.131	0.041	-0.043	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	KA	KA25	-0.036	NA	-0.022	0.08	0.007	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	KA	KA28	0.15	NA	0.235	-0.119	0.061	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	KA	KA29	0.113	NA	0.133	0.006	0.093	0.056	NA	0.053	0.058	0.087
lmer_pop	Via	NA	KA	KA3	-0.109	NA	-0.225	-0.09	-0.111	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA5	-0.179	NA	-0.016	0.024	0.018	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA6	0.024	NA	0.031	0.01	0.019	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	KA	KA7	0.064	NA	0.003	-0.136	0.024	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	KA	KA9	0.003	NA	0.135	-0.026	0.044	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA12	0.134	NA	0.119	0.013	-0.069	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA13	0.068	NA	-0.043	0.027	-0.055	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA16	0.027	NA	0.131	0.132	-0.05	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA18	-0.002	NA	0.06	-0.165	-0.01	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA19	0.122	NA	0.011	0.124	0.041	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA20	-0.165	NA	0.005	-0.014	0.02	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA21	0.07	NA	0.048	0.166	0.02	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA23	-0.026	NA	0.005	-0.028	0.125	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA26	-0.017	NA	0.075	-0.128	0.062	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	MA	MA27	-0.057	NA	0.037	-0.106	-0.086	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MA	MA28	0.036	NA	-0.187	-0.269	-0.009	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	MA	MA3	0.119	NA	-0.024	0.053	0.058	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	MA	MA30	0.035	NA	0.038	0.081	0.027	0.042	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MA	MA31	-0.261	NA	-0.138	-0.028	-0.092	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MA	MA32	-0.072	NA	0.044	0.09	0.073	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MA	MA33	0.09	NA	-0.096	0.082	0.033	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MA	MA5	-0.153	NA	0.013	0.04	0.012	0.056	NA	0.053	0.059	0.067
lmer_pop	Via	NA	MA	MA6	0.039	NA	-0.11	-0.115	-0.226	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MA	MA7	0.034	NA	-0.027	0.034	0.101	0.056	NA	0.053	0.058	0.087
lmer_pop	Via	NA	MA	MA9	-0.022	NA	0.038	0.014	0.027	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	MU	MU1	0.071	NA	0.026	-0.001	-0.038	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	MU	MU10	0.133	0.097	0.055	0.066	0.11	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	MU	MU11	-0.071	NA	-0.133	-0.216	-0.055	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	MU	MU12	0.045	NA	0.087	0.104	0.095	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	MU	MU13	-0.071	-0.034	0.061	0.089	-0.184	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	MU	MU14	-0.057	-0.041	-0.033	0.012	0.128	0.056	0.045	0.053	0.059	0.087
lmer_pop	Via	NA	MU	MU15	0.021	0.018	0.099	0.092	0.057	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	MU	MU16	-0.065	NA	0.153	0.085	-0.033	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MU	MU17	0.001	NA	-0.071	0.052	0.071	0.056	NA	0.053	0.058	0.087
lmer_pop	Via	NA	MU	MU18	0.088	NA	0.043	0.07	0.122	0.056	NA	0.053	0.058	0.099
lmer_pop	Via	NA	MU	MU19	-0.007	NA	-0.041	-0.047	-0.188	0.042	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MU	MU2	0.031	NA	0.147	-0.007	0.028	0.056	NA	0.053	0.059	0.067
lmer_pop	Via	NA	MU	MU20	-0.025	NA	-0.155	-0.064	0.014	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	MU	MU3	-0.066	0.013	-0.117	-0.141	-0.035	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	MU	MU4	-0.004	-0.101	0.038	0.047	0.086	0.056	0.045	0.053	0.058	0.079
lmer_pop	Via	NA	MU	MU5	0.087	-0.016	0.023	-0.04	0.029	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	MU	MU6	-0.089	0.05	-0.088	0.103	-0.186	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	MU	MU7	0.083	0.004	0.11	0.131	-0.068	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	MU	MU8	-0.096	0.009	-0.027	-0.213	-0.024	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	MU	MU9	-0.01	NA	-0.178	-0.121	0.069	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE1	-0.017	NA	NA	-0.085	-0.075	0.056	NA	NA	0.058	0.067
lmer_pop	Via	NA	RE	RE10	0.052	0.039	0.049	0.177	0.224	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE11	0.094	0.052	0.18	-0.004	0.019	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE12	-0.137	-0.008	-0.096	-0.156	0.019	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE13	-0.028	0.036	0.102	-0.095	-0.054	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE15	0.154	-0.036	0.075	0.01	0.111	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE16	0.048	0.039	0.173	0.124	-0.013	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE17	0.105	-0.034	-0.112	-0.074	-0.063	0.065	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE18	0.137	NA	-0.001	-0.074	0.073	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE2	-0.004	NA	0.097	0.081	-0.029	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	RE	RE3	-0.163	-0.091	-0.062	-0.009	-0.132	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE4	-0.055	NA	-0.027	0.011	0.102	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	RE	RE5	0.015	NA	-0.136	0.122	-0.039	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	RE	RE6	-0.073	NA	-0.085	-0.036	-0.13	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	RE	RE7	0.055	0.027	-0.193	0.011	0.01	0.042	0.045	0.053	0.058	0.079
lmer_pop	Via	NA	RE	RE8	-0.184	-0.023	0.036	-0.003	-0.023	0.056	0.045	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM13	0.01	NA	0.013	-0.063	-0.049	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM17	-0.005	NA	-0.236	-0.06	-0.13	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM18	-0.019	NA	0.141	-0.197	0.021	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM2	0.135	NA	-0.078	0.079	-0.007	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	UM	UM20	-0.07	NA	-0.002	-0.317	0.089	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM21	0.095	NA	0.004	-0.053	-0.022	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM22	-0.155	NA	NA	-0.023	-0.045	0.056	NA	NA	0.059	0.079
lmer_pop	Via	NA	UM	UM23	-0.166	NA	0.022	-0.092	-0.024	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM25	0.148	NA	0.087	0.185	0.081	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM26	-0.051	NA	0.129	0.109	0.136	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM28	0.031	NA	-0.036	-0.05	-0.02	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM29	-0.059	NA	0.121	0.197	0.002	0.056	NA	0.053	0.058	0.087
lmer_pop	Via	NA	UM	UM4	-0.043	NA	-0.129	-0.068	-0.156	0.056	NA	0.053	0.058	0.067
lmer_pop	Via	NA	UM	UM5	0.03	NA	0.235	0.199	0.061	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	UM	UM6	0.002	NA	0.036	0.156	0.058	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	UM	UM7	0.048	NA	-0.057	0.103	-0.057	0.042	NA	0.053	0.059	0.079
lmer_pop	Via	NA	UM	UM8	0.008	NA	-0.273	NA	-0.015	0.056	NA	0.053	NA	0.079
lmer_pop	Via	NA	UM	UM9	0.06	NA	0.022	-0.019	0.076	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	VA	VA1	-0.007	NA	-0.001	0.002	-0.07	0.056	NA	0.053	0.059	0.063
lmer_pop	Via	NA	VA	VA11	-0.237	NA	0.004	-0.154	0.044	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	VA	VA15	-0.06	NA	-0.248	-0.02	-0.157	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	VA	VA18	0.188	NA	0.049	-0.04	0.065	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	VA	VA22	0.015	NA	-0.156	-0.016	0.017	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	VA	VA26	-0.069	NA	0.152	-0.083	-0.083	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	VA	VA30	0.073	NA	-0.024	0.14	0.045	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	VA	VA34	0.085	NA	0.02	0.115	0.145	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	VA	VA35	0.088	NA	0.065	-0.091	0.095	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	VA	VA44	0.009	NA	0.099	-0.094	0.045	0.042	NA	0.053	0.059	0.079
lmer_pop	Via	NA	VA	VA46	0.008	NA	-0.011	-0.003	0.016	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	VA	VA47	0.058	NA	-0.065	-0.234	-0.018	0.056	NA	0.053	0.059	0.099
lmer_pop	Via	NA	VA	VA48	0.064	NA	-0.025	0.106	0.132	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	VA	VA55	0.117	NA	0.205	0.1	-0.008	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	VA	VA57	-0.047	NA	-0.046	0.003	-0.11	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	VA	VA6	-0.272	NA	0.126	0.168	-0.128	0.056	NA	0.053	0.059	0.072
lmer_pop	Via	NA	VA	VA66	0.071	NA	-0.002	0.082	-0.014	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	VA	VA67	-0.136	NA	-0.296	-0.079	-0.112	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	VA	VA71	-0.002	NA	0.026	0.118	-0.006	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	VA	VA9	0.052	NA	0.129	-0.02	0.101	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE11	-0.213	NA	-0.368	-0.139	-0.044	0.056	NA	0.053	0.059	0.072
lmer_pop	Via	NA	YE	YE13	-0.009	NA	0.202	0.073	0.099	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE14	0.191	NA	-0.005	-0.008	0.137	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE15	0.017	NA	0.021	0.067	0.145	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE19	0.053	NA	0.083	0.129	0.106	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE20	-0.15	NA	-0.023	-0.1	-0.152	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE21	-0.15	NA	-0.088	-0.147	-0.115	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE22	0.048	NA	0.055	0.018	-0.071	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE23	0.038	NA	-0.154	-0.012	-0.001	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE24	-0.123	NA	-0.005	-0.09	0.227	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE26	-0.17	NA	-0.105	-0.08	-0.164	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	YE	YE27	0.011	NA	0.001	0.016	-0.209	0.056	NA	0.053	0.059	0.087
lmer_pop	Via	NA	YE	YE33	0.107	NA	-0.036	-0.138	0.018	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE40	0.153	NA	0.115	0.102	-0.014	0.056	NA	0.053	0.059	0.099
lmer_pop	Via	NA	YE	YE41	-0.105	NA	0.027	-0.014	-0.208	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE48	0.011	NA	0.104	0.145	0.082	0.056	NA	0.053	0.059	0.079
lmer_pop	Via	NA	YE	YE49	0.155	NA	0.201	0.025	-0.038	0.042	NA	0.053	0.058	0.079
lmer_pop	Via	NA	YE	YE51	-0.091	NA	-0.02	0.033	0.09	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	YE	YE69	0.106	NA	0.051	0.06	0.144	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	YE	YE80	0.119	NA	-0.056	0.06	-0.033	0.056	NA	0.053	0.058	0.079
lmer_pop	Via	NA	AK	AK19	NA	NA	NA	-0.086	NA	NA	NA	NA	0.058	NA
lmer_pop	Via	NA	AK	AK24	NA	NA	NA	-0.127	NA	NA	NA	NA	0.058	NA
lmer_pop	Via	NA	UM	UM24	NA	NA	NA	-0.087	NA	NA	NA	NA	0.058	NA
